Run	BioSample	Sample	SampleName	LibraryName	LibraryStrategy	LibrarySource	LibraryLayout	spots	bases	avgLength	size_MB	ScientificName	Disease	Body_Site	CenterName	representative_rule
SRR27343736	SAMN39106199	SRS19982631	230606MCX00022	230606MCX00022 DNA	WGS	METAGENOMIC	SINGLE	316749	15837450	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343735	SAMN39106200	SRS19982632	230606MCX00030	230606MCX00030 DNA	WGS	METAGENOMIC	SINGLE	266085	13304250	50	6.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343734	SAMN39106201	SRS19982633	20210309MCX007	20210309MCX007 DNA	WGS	METAGENOMIC	SINGLE	508725	25436250	50	11.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343732	SAMN39106202	SRS19982848	20210323MCX007	20210323MCX007 DNA	WGS	METAGENOMIC	SINGLE	379525	18976250	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343302	SAMN39106203	SRS19982849	20210330MCX002	20210330MCX002 DNA	WGS	METAGENOMIC	SINGLE	380231	19011550	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343300	SAMN39106204	SRS19982691	20210415MCX002	20210415MCX002 DNA	WGS	METAGENOMIC	SINGLE	234650	11732500	50	5.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343299	SAMN39106205	SRS19982692	20210429MCX009	20210429MCX009 DNA	WGS	METAGENOMIC	SINGLE	591366	29568300	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343298	SAMN39106206	SRS19982693	20210430MCX009	20210430MCX009 DNA	WGS	METAGENOMIC	SINGLE	524548	26227400	50	12.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343297	SAMN39106207	SRS19982694	20210524MCX007	20210524MCX007 DNA	WGS	METAGENOMIC	SINGLE	932259	46612950	50	20.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
SRR27343296	SAMN39106208	SRS19982695	20210602MCX013	20210602MCX013 DNA	WGS	METAGENOMIC	SINGLE	368961	18448050	50	8.0	human metagenome			VISION MEDICALS CO., LTD.	largest_size_mb_per_biosample
