run_accession	ngdc_biosample	submitted_sample_name	subject_id	group_raw	mapping_status	biological_grouping_eligible
DRR770723	SAMC5008572	BALF_110	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770721	SAMC5008570	BALF_108	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770726	SAMC5008575	BALF_113	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770727	SAMC5008576	BALF_114	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770724	SAMC5008573	BALF_111	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770731	SAMC5008580	BALF_118	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770733	SAMC5008582	BALF_120	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770725	SAMC5008574	BALF_112	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770740	SAMC5008589	BALF_127	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770730	SAMC5008579	BALF_117	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770741	SAMC5008590	BALF_128	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770744	SAMC5008593	BALF_131	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770737	SAMC5008586	BALF_124	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770745	SAMC5008594	BALF_132	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770742	SAMC5008591	BALF_129	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770747	SAMC5008596	BALF_134	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770748	SAMC5008597	BALF_135	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770746	SAMC5008595	BALF_133	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
DRR770751	SAMC5008600	BALF_138	UNRESOLVED	UNRESOLVED	GROUP_MAPPING_UNRESOLVED	NO
