run_accession	experiment_accession	biosample	subject_id	sample_name	library_name	hiv_group	group_evidence	platform	layout	read_length	compressed_bytes	md5	fastq_ftp	center_repository	host_depletion_status	repository_filename_signal	analysis_eligibility
SRR24785352	SRX20557870	SAMN35536439	UNRESOLVED	2234042380259_C1T.unhost.fq.gz	L189	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	93080044	9d91638023d61754d36a87282fda17bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/052/SRR24785352/SRR24785352.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785351	SRX20557871	SAMN35536440	UNRESOLVED	2234042380266_C1T.unhost.fq.gz	L190	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	67436123	41602dcc428516afcc7a9a85a45e4b17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/051/SRR24785351/SRR24785351.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785349	SRX20557873	SAMN35536441	UNRESOLVED	2234042380273_C1T.unhost.fq.gz	L191	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	35925456	44a413db0c67b7a6560f25f5bf1fe817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/049/SRR24785349/SRR24785349.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785348	SRX20557874	SAMN35536442	UNRESOLVED	2234042380280_C1T.unhost.fq.gz	L192	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	18439407	e437a032ad62bb3cc9bd7ad61a611483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/048/SRR24785348/SRR24785348.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785347	SRX20557875	SAMN35536443	UNRESOLVED	2234042380297_C1T.unhost.fq.gz	L193	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	103951717	ca7edf5f40a7b1bc08de19cceb77ea80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/047/SRR24785347/SRR24785347.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785346	SRX20557876	SAMN35536444	UNRESOLVED	2234042380334_C1T.unhost.fq.gz	L194	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	87630628	1458dd27ba87418aace7934b25aebc8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/046/SRR24785346/SRR24785346.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785345	SRX20557877	SAMN35536445	UNRESOLVED	2234042380341_C1T.unhost.fq.gz	L195	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	38991441	106fe8b1e11620a32ec32c49729d5c72	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/045/SRR24785345/SRR24785345.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785344	SRX20557878	SAMN35536446	UNRESOLVED	2234042380358_C1T.unhost.fq.gz	L196	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	145659972	b3420f21dffb0f23aef84f846998ed5b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/044/SRR24785344/SRR24785344.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785343	SRX20557879	SAMN35536447	UNRESOLVED	2234042380365_C1T.unhost.fq.gz	L197	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	463795771	3cbc84cc917983790430aef30ceb061b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/043/SRR24785343/SRR24785343.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785342	SRX20557880	SAMN35536448	UNRESOLVED	2234042380372_C1T.unhost.fq.gz	L198	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	32206540	575bb85a22b4292effdfb499a5bda3f9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/042/SRR24785342/SRR24785342.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785341	SRX20557881	SAMN35536449	UNRESOLVED	2234042380396_C1T.unhost.fq.gz	L199	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	442293332	0c334100ef9a638b36e478cca241190f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/041/SRR24785341/SRR24785341.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24785340	SRX20557882	SAMN35536450	UNRESOLVED	2234042380402_C1T.unhost.fq.gz	L200	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	108773053	6302397563603af62a9384fb491d1dd1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/040/SRR24785340/SRR24785340.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784901	SRX20557604	SAMN35536451	UNRESOLVED	2234042380440_C1T.unhost.fq.gz	L201	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	48008033	5fa802174f2fb16b22e05da09e1c84bf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/001/SRR24784901/SRR24784901.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
SRR24784900	SRX20557605	SAMN35536452	UNRESOLVED	2234042380457_C1T.unhost.fq.gz	L202	UNRESOLVED	No HIV field or accession-linked clinical table in public record	Illumina NovaSeq 6000	SINGLE	40	31368484	fa48039aa6dcde289a9fb335089f3262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/000/SRR24784900/SRR24784900.fastq.gz	ZHONGNAN HOSPITAL, WUHAN UNIVERSITY	UNRESOLVED_AT_FILE_LEVEL	unhost	METADATA_ONLY
