contrast	taxon	prevalence	mean_group	mean_other	mean_delta_group_minus_other	median_group	median_other	p_value	q_value
Enterobacterales_vs_other	Fusobacterium pseudoperiodonticum	5	0.005785	0.0006357692307692308	0.00514923076923077	0.0	0.0	0.6693340144640527	0.8414068159271376
Enterobacterales_vs_other	Neisseria sicca	5	0.007	0.0018592307692307693	0.005140769230769231	0.0	0.0	0.7143252846662898	0.8414068159271376
Pseudomonas_vs_other	Streptococcus oralis	9	0.00023	0.005267307692307692	-0.005037307692307692	0.0	0.0	0.7143252846662898	0.8414068159271376
Enterobacterales_vs_other	Streptococcus oralis	9	0.00101	0.005147307692307692	-0.004137307692307692	0.000515	0.0	0.5829505577618919	0.8414068159271376
Streptococcus_vs_other	Prevotella intermedia	5	0.0044725	0.0003592307692307692	0.004113269230769231	0.0	0.0	0.6693340144640527	0.8414068159271376
Enterobacterales_vs_other	Neisseria flavescens	4	0.00413	5.461538461538462e-05	0.004075384615384615	0.0	0.0	0.604056766581538	0.8414068159271376
Acinetobacter_vs_other	Streptococcus gwangjuense	5	0.0	0.00398	-0.00398	0.0	0.0	0.541802935032798	0.8414068159271376
Enterobacterales_vs_other	Streptococcus gwangjuense	5	0.0	0.00398	-0.00398	0.0	0.0	0.541802935032798	0.8414068159271376
Haemophilus_vs_other	Streptococcus gwangjuense	5	0.0	0.00398	-0.00398	0.0	0.0	0.541802935032798	0.8414068159271376
Mycobacteria_vs_other	Streptococcus gwangjuense	5	0.0	0.00398	-0.00398	0.0	0.0	0.541802935032798	0.8414068159271376
Staphylococcus_vs_other	Rothia mucilaginosa	10	0.0060125000000000005	0.009718846153846154	-0.003706346153846154	0.00301	0.0	0.5021582515007488	0.8414068159271376
Pseudomonas_vs_other	Prevotella melaninogenica	10	0.001365	0.0050407692307692315	-0.0036757692307692316	0.00059	0.0	0.7603323075218762	0.8414068159271376
Acinetobacter_vs_other	Prevotella denticola	3	0.0	0.003644615384615385	-0.003644615384615385	0.0	0.0	0.7143252846662898	0.8414068159271376
Enterobacterales_vs_other	Prevotella denticola	3	0.0	0.003644615384615385	-0.003644615384615385	0.0	0.0	0.7143252846662898	0.8414068159271376
Haemophilus_vs_other	Prevotella denticola	3	0.0	0.003644615384615385	-0.003644615384615385	0.0	0.0	0.7143252846662898	0.8414068159271376
Mycobacteria_vs_other	Prevotella denticola	3	0.0	0.003644615384615385	-0.003644615384615385	0.0	0.0	0.7143252846662898	0.8414068159271376
Streptococcus_vs_other	Streptococcus salivarius	5	0.0042525	0.0006523076923076923	0.0036001923076923077	0.000815	0.0	0.20012811767860228	0.8414068159271376
Staphylococcus_vs_other	Streptococcus oralis	9	0.0014925	0.005073076923076922	-0.0035805769230769224	0.000165	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Streptococcus gwangjuense	5	0.0003475	0.003926538461538461	-0.003579038461538461	0.0	0.0	0.8072032868244086	0.8414068159271376
Pseudomonas_vs_other	Prevotella denticola	3	7.25e-05	0.0036334615384615385	-0.0035609615384615385	0.0	0.0	0.6254994799810465	0.8414068159271376
Staphylococcus_vs_other	Streptococcus salivarius	5	0.00417	0.000665	0.0035050000000000003	0.00244	0.0	0.20012811767860228	0.8414068159271376
Staphylococcus_vs_other	Prevotella denticola	3	0.00021	0.0036123076923076924	-0.0034023076923076923	0.0	0.0	0.5829505577618919	0.8414068159271376
Streptococcus_vs_other	Streptococcus sp. NPS 308	2	0.0030924999999999998	0.0	0.0030924999999999998	0.00154	0.0	0.11268690036881446	0.8414068159271376
Streptococcus_vs_other	Morococcus cerebrosus	4	0.003095	3.9999999999999996e-05	0.003055	0.0	0.0	0.604056766581538	0.8414068159271376
