UniRef90	kruskal_H	epsilon_squared	group_mean_range	highest_mean_group	raw_p	BH_q	group_means_json
UniRef90_N1NJ02	9.277418049372713	0.06082943092251014	7.566537230947897e-05	Haemophilus	0.3194366199271623	0.33958505324714106	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 8.61771900655288e-06, ""Haemophilus"": 7.566537230947897e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.55033471608116e-06, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 4.438753187469141e-05}"
UniRef90_C6J7T2	9.21873735329825	0.05803511206182144	6.399524325289282e-05	Staphylococcus	0.3241810452220154	0.3441764640217985	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 3.043279128308133e-05, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.4310781994273334e-06, ""Staphylococcus"": 6.399524325289282e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.567541307236426e-05}"
UniRef90_A0A2W5R337	8.926046961994674	0.04409747438069874	0.00019052065614173856	Haemophilus	0.34857294787154036	0.3695878307052112	"{""Acinetobacter"": 9.406489103117065e-05, ""Candida"": 0.0, ""Enterobacterales"": 4.9272249546021546e-06, ""Haemophilus"": 0.00019052065614173856, ""Mycobacteria"": 2.5498646187224696e-05, ""Pseudomonas"": 2.5899496911937972e-05, ""Staphylococcus"": 3.405640307076841e-05, ""Stenotrophomonas"": 3.1099629556929864e-05, ""Streptococcus"": 4.32806561561809e-05}"
UniRef90_T4AWL0	8.683485193621857	0.032546913981993206	9.95989293193017e-05	Staphylococcus	0.3696961485081307	0.3914714452134525	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 4.005434495158408e-06, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.5838554666629287e-06, ""Staphylococcus"": 9.95989293193017e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 4.6129816171073534e-05}"
UniRef90_A0A0D3AH13	8.611808846761452	0.02913375460768819	0.00018082214160051096	Staphylococcus	0.37609326486528094	0.39772477290981995	"{""Acinetobacter"": 0.00014620366873694909, ""Candida"": 6.44297048531636e-05, ""Enterobacterales"": 0.0, ""Haemophilus"": 0.00016696682803902922, ""Mycobacteria"": 0.0, ""Pseudomonas"": 3.782955056281685e-05, ""Staphylococcus"": 0.00018082214160051096, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.00012792560990269644}"
UniRef90_G5LUL6	8.60186125211506	0.028660059624526706	2.1927008991841396e-05	Haemophilus	0.37698662541510697	0.39814906000107253	"{""Acinetobacter"": 3.0798966078063115e-07, ""Candida"": 0.0, ""Enterobacterales"": 1.896808545942368e-07, ""Haemophilus"": 2.1927008991841396e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 3.156653616623511e-08, ""Staphylococcus"": 6.411933229668418e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.100053544149835e-06}"
UniRef90_A0A0S4XGK5	8.562605752961076	0.026790750141003628	1.0776769147982517e-06	Pseudomonas	0.3805251434994724	0.4013622439257799	"{""Acinetobacter"": 4.74655861247629e-07, ""Candida"": 0.0, ""Enterobacterales"": 7.38852688852943e-08, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.0776769147982517e-06, ""Staphylococcus"": 1.4739475959512607e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.8477715330824827e-07}"
UniRef90_J9FTK5	8.493908629441615	0.023519458544838792	4.622894565404771e-06	Acinetobacter	0.38676765026417337	0.40741540242671387	"{""Acinetobacter"": 4.622894565404771e-06, ""Candida"": 0.0, ""Enterobacterales"": 6.674832392018828e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 8.332077768765371e-08, ""Staphylococcus"": 1.5252722095115252e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 3.4127973537004156e-06}"
UniRef90_A0A2V2KZ91	8.47870159453303	0.02279531402538238	5.241124749513639e-05	Haemophilus	0.38815808756737424	0.4083483652041688	"{""Acinetobacter"": 1.2550821238348606e-05, ""Candida"": 0.0, ""Enterobacterales"": 2.2654837676567756e-06, ""Haemophilus"": 5.241124749513639e-05, ""Mycobacteria"": 0.0, ""Pseudomonas"": 0.0, ""Staphylococcus"": 6.259298577721634e-06, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 0.0}"
UniRef90_A0A1A9AM51	8.232901659247277	0.011090555202251298	3.460613751989497e-05	Acinetobacter	0.4110567632513298	0.43171099095691245	"{""Acinetobacter"": 3.460613751989497e-05, ""Candida"": 0.0, ""Enterobacterales"": 0.0, ""Haemophilus"": 0.0, ""Mycobacteria"": 3.428596693962917e-05, ""Pseudomonas"": 2.15523099217844e-05, ""Staphylococcus"": 0.0, ""Stenotrophomonas"": 2.5381545343313418e-05, ""Streptococcus"": 2.5001458804256824e-05}"
UniRef90_A0A0S8JFB9	8.228934010152278	0.010901619531060851	1.0776769147982517e-06	Pseudomonas	0.4114328479947831	0.43171099095691245	"{""Acinetobacter"": 3.4343702136580383e-07, ""Candida"": 0.0, ""Enterobacterales"": 9.699105943787747e-08, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.0776769147982517e-06, ""Staphylococcus"": 1.4739475959512607e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 1.8477715330824827e-07}"
UniRef90_A0A0Y1ZDJ5	8.092067988668562	0.004384189936598203	3.16050757609645e-05	Streptococcus	0.4245287455429225	0.4448753304976999	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 0.0, ""Haemophilus"": 0.0, ""Mycobacteria"": 2.4799751879225856e-05, ""Pseudomonas"": 1.976388409456738e-05, ""Staphylococcus"": 2.2305878435981318e-05, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 3.16050757609645e-05}"
UniRef90_A0A2D5FFL7	7.976651480637805	0	1.9828689225039285e-06	Pseudomonas	0.43575420506426443	0.45604806196247083	"{""Acinetobacter"": 0.0, ""Candida"": 0.0, ""Enterobacterales"": 1.4323557620125113e-07, ""Haemophilus"": 0.0, ""Mycobacteria"": 0.0, ""Pseudomonas"": 1.9828689225039285e-06, ""Staphylococcus"": 9.957598098470586e-07, ""Stenotrophomonas"": 0.0, ""Streptococcus"": 9.075390268249169e-07}"
