pathogen_group	UniRef90	spearman_rho	raw_p	BH_q_within_pathogen	matched_species_features
Acinetobacter	UniRef90_A0A0T8A9Y5	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8AML8	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8ANS3	-0.09843252449590283	0.6048155537440907	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8BVF2	0.05721833202828335	0.7639277126464872	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8EKK9	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8QTS3	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8TK39	-0.07440204903211435	0.6959871167091137	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8YBQ3	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T8ZQM3	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9AEX2	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9AU55	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9E5A0	-0.06128979144727207	0.7476524657642921	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9G014	-0.1271160468962164	0.5032516077372418	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9GW70	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9GZ97	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9GZD2	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9H220	-0.08670778007362939	0.6486792324657891	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0T9H6W4	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0U0GX68	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0U1N5C3	-0.16275118315073842	0.39017663539191705	0.7492940434496557	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0U2JDG4	0.32210079612039566	0.08258905673828867	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0U2VNB3	0.3091613093322019	0.09643177726219333	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0V0SPY2	0.004412864984203589	0.9815359799037386	0.9938205353468392	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0V0SUR0	0.010445229894272249	0.9563127225448814	0.9811903062625275	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0V0T020	-0.30871329688171645	0.09694064434058766	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0V0U2G1	-0.20272305693395973	0.2826506384855124	0.6146891573515579	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0Y1ZDJ5	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A0Y5UK39	-0.09843252449590283	0.6048155537440907	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A101E798	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A101E7L0	-0.06073946015310079	0.7498463258522845	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A121D5N5	0.259683199205286	0.1658034826535385	0.547489867211072	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A127SM29	0.17602428103656537	0.3521376347786126	0.6999492543879547	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A132GIA7	-0.06205988319990733	0.7445857888718217	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A132GJ73	-0.06205988319990733	0.7445857888718217	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A132GRA8	-0.06205988319990733	0.7445857888718217	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A133RX34	-0.08641728676400859	0.6497815697126487	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A139PJ62	0.055457767965874635	0.7709964937121524	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A139PM50	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A139Q759	0.09565977732700416	0.6150750395392732	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A139Q9C7	-0.22064324921017944	0.24132941050406176	0.5759159088430265	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A140NFL2	0.2049530625996778	0.2772759709396825	0.6095550556798998	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A141RHF0	-0.04854151482623948	0.7989351341023582	0.885395237655901	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A142EAZ3	0.4454227077894058	0.013636604880295342	0.18593507900478579	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
Acinetobacter	UniRef90_A0A148HT91	0.30731281121960274	0.09854445177973171	0.36908546986019886	Acinetobacter baumannii;Acinetobacter johnsonii;Acinetobacter lwoffii
