section	metric	group	value1	value2	value3
pcoa_position	SRR27343758	Pulmonary tuberculosis	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27343789	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343275	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343276	Lung cancer	-1.7438120732757483	0.40287962512085485	True
pcoa_position	SRR27343281	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343306	Pulmonary tuberculosis	6.031408823415499	-5.172412203707119	False
pcoa_position	SRR27343317	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343321	Pulmonary tuberculosis	3.1787750980238694	0.7479266145067445	False
pcoa_position	SRR27343322	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343330	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343331	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343791	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343796	Fungal infection	-1.578642675287225	-5.1631467120446395	False
pcoa_position	SRR27343836	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343846	Bacterial infection	-8.720737417619219	-6.722717718433603	False
pcoa_position	SRR27343852	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343857	Bacterial infection	1.8291696933670516	-3.308236206852564	False
pcoa_position	SRR27343898	Bacterial infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27344024	Lung cancer	-5.837352192511825	-11.832521887498833	False
pcoa_position	SRR27344026	Lung cancer	10.276139034993431	-1.5789442330871526	False
pcoa_position	SRR27344030	Lung cancer	3.243850928658822	-3.0680932950889956	False
pcoa_position	SRR27344040	Bacterial infection	0.14226138240290334	0.5350832702765679	True
pcoa_position	SRR27343462	Lung cancer	1.6753820204693264	0.9870093280400836	False
pcoa_position	SRR27343466	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343474	Lung cancer	-0.19981238974677096	1.4336024990135599	False
pcoa_position	SRR27343476	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343478	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343493	Lung cancer	4.1304731349572394	1.7946149565538465	False
pcoa_position	SRR27343514	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343602	Bacterial infection	6.009498396110733	1.2861773908186147	False
pcoa_position	SRR27343664	Bacterial infection	-3.351149990934698	-10.631399584311572	False
pcoa_position	SRR27343714	Lung cancer	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343716	Bacterial infection	-5.210939016971059	-9.274703062085575	False
pcoa_position	SRR27343737	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343751	Pulmonary tuberculosis	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343766	Fungal infection	-4.694423973859212	6.152895918388557	False
pcoa_position	SRR27343771	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343782	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343794	Fungal infection	-1.7438120732757483	0.40287962512085485	False
pcoa_position	SRR27343816	Fungal infection	-1.7438120732757483	0.40287962512085485	False
