species	detected_samples	prevalence	mean_relative_abundance	median_relative_abundance	maximum_relative_abundance
Staphylococcus sp. M0911	4	0.01	0.00018525929762430146	0.0	0.036298996852426345
Proteus penneri	4	0.01	0.00016419112651994402	0.0	0.041685965724872626
Serratia marcescens	4	0.01	0.00014135164239285718	0.0	0.027729048253923697
Cloacibacterium caeni	4	0.01	9.378128407994695e-05	0.0	0.03245912643237282
Desulfomicrobium orale	4	0.01	9.171916923114168e-05	0.0	0.034248720893808086
Neisseria sp. KEM232	4	0.01	9.022819285425437e-05	0.0	0.03547368529317988
Schlegelella aquatica	4	0.01	7.713689256558403e-05	0.0	0.027187612531508823
Finegoldia magna	4	0.01	5.4416376020289906e-05	0.0	0.020835744877879384
Sphingobium yanoikuyae	4	0.01	4.984838436786449e-05	0.0	0.008885186727752327
Treponema sp. OMZ 906	4	0.01	4.522021377551368e-05	0.0	0.015255618958891347
Bacteroides uniformis	4	0.01	3.882003843542877e-05	0.0	0.005884660651235779
Bifidobacterium dentium	4	0.01	3.160105951576063e-05	0.0	0.011467889908256881
Desulfovibrio sp. G11	4	0.01	2.7650805595361766e-05	0.0	0.005295751823127678
Cutibacterium avidum	4	0.01	2.6480690547560927e-05	0.0	0.005969734832708594
Psychrobacter sanguinis	4	0.01	2.5734240138864327e-05	0.0	0.007042412988836303
Paraburkholderia phytofirmans	4	0.01	2.2790828202769346e-05	0.0	0.007493134562573558
Mycobacterium sp. YC-RL4	4	0.01	2.080900368043678e-05	0.0	0.006880733944954128
Brevibacterium casei	4	0.01	1.935919073285322e-05	0.0	0.004080031384856806
Actinomyces sp. oral taxon 169	4	0.01	1.8179910003263424e-05	0.0	0.003321673581170856
Burkholderia stagnalis	4	0.01	1.5564006927013313e-05	0.0	0.003102149346332817
Abyssicoccus albus	4	0.01	1.45611520691122e-05	0.0	0.003193113980285992
Cupriavidus pauculus	4	0.01	1.444813537709098e-05	0.0	0.0036662083906178395
Fusobacterium sp. oral taxon 203	4	0.01	1.3862246199468744e-05	0.0	0.004764425622022233
Comamonas aquatica	4	0.01	1.3690873012147781e-05	0.0	0.002314633189486073
Paraburkholderia aromaticivorans	4	0.01	1.3566991764864449e-05	0.0	0.00423695566888976
Treponema sp. OMZ 305	4	0.01	1.3313056952847518e-05	0.0	0.003959473622918365
Paracoccus sp. Arc7-R13	4	0.01	1.2318980555839553e-05	0.0	0.002040015692428403
Kocuria rosea	4	0.01	1.1445395187024502e-05	0.0	0.0025814632820814745
Agrobacterium tumefaciens	4	0.01	1.0474505640032555e-05	0.0	0.002739974185367179
Rothia amarae	4	0.01	9.906807769209245e-06	0.0	0.0015003088871238198
Staphylococcus pasteuri	4	0.01	9.704265630016398e-06	0.0	0.0027780993170505846
Fusobacterium necrophorum	4	0.01	7.987866536345488e-06	0.0	0.0025632485192533276
Prevotella herbatica	4	0.01	5.972286389548555e-06	0.0	0.0015003088871238198
Streptococcus milleri	4	0.01	5.8084830118898384e-06	0.0	0.0014826135054685629
Leptotrichia sp. oral taxon 498	4	0.01	5.667686328248618e-06	0.0	0.0008667586647354675
Hydrogenophilus thermoluteolus	4	0.01	4.812492412052269e-06	0.0	0.0013904204823320708
Cutibacterium granulosum	4	0.01	4.793783734531573e-06	0.0	0.001054801745217433
Actinomyces sp. oral taxon 171	4	0.01	4.557166048841316e-06	0.0	0.0013829008378752137
Porphyromonas crevioricanis	4	0.01	3.829735739592288e-06	0.0	0.001195929327346165
Selenomonas timonae	4	0.01	3.756075300367505e-06	0.0	0.0006232919403557558
Leptotrichia hofstadii	4	0.01	2.118224967577928e-06	0.0	0.00035354629745788807
