batch	job_id	run	status	total_reads	classified_reads	unclassified_reads	classified_pct	kraken_species_count	bracken_species_count	top_species	top_species_fraction	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	second_stage_priority	second_stage_reason	error
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343769	done	234925	6376	228549	2.7141	114	23	Pseudomonas aeruginosa	0.457	Pseudomonas aeruginosa	0.457	2774.0	Pseudomonas aeruginosa;Streptococcus salivarius;Prevotella denticola;Prevotella nigrescens;Streptococcus sp. oral taxon 061	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343774	done	236709	2989	233720	1.2627	22	6	Homo sapiens	0.51523	Candida albicans	0.03013	89.0	Candida albicans;Stenotrophomonas sp. LM091	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343781	done	265740	7996	257744	3.009	38	5	Arabidopsis thaliana	0.64486							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343795	done	242640	3340	239300	1.3765	39	5	Homo sapiens	0.50244	Rothia mucilaginosa	0.00611	20.0	Rothia mucilaginosa	2	moderate_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343797	done	245207	1891	243316	0.7712	20	4	Homo sapiens	0.48235	Haemophilus influenzae	0.02064	38.0	Haemophilus influenzae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343798	done	240738	3435	237303	1.4269	40	5	Toxoplasma gondii	0.5499	Staphylococcus epidermidis	0.02055	69.0	Staphylococcus epidermidis;Candida albicans;[Candida] glabrata	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343818	done	233924	5763	228161	2.4636	32	4	Arabidopsis thaliana	0.62208							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343821	done	230227	4891	225336	2.1244	88	15	Arabidopsis thaliana	0.29326	Prevotella intermedia	0.08342	390.0	Prevotella intermedia;Prevotella oris;Prevotella melaninogenica;Prevotella jejuni	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343828	done	251220	4445	246775	1.7694	23	3	Arabidopsis thaliana	0.50602							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343830	done	248289	4300	243989	1.7319	22	5	Arabidopsis thaliana	0.33577	Cryptococcus neoformans	0.02169	92.0	Cryptococcus neoformans	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343837	done	229614	3495	226119	1.5221	77	16	Homo sapiens	0.36916	Staphylococcus haemolyticus	0.08443	282.0	Staphylococcus haemolyticus;Streptococcus salivarius;Prevotella melaninogenica;Staphylococcus epidermidis;Streptococcus sanguinis	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343841	done	240580	3892	236688	1.6178	89	14	Homo sapiens	0.40291	Streptococcus salivarius	0.02936	109.0	Streptococcus salivarius;Streptococcus oralis;Prevotella jejuni;Prevotella melaninogenica;Streptococcus mitis	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343843	done	245639	3005	242634	1.2233	35	4	Homo sapiens	0.54837							
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343851	done	209350	2231	207119	1.0657	21	4	Homo sapiens	0.47745	Haemophilus influenzae	0.06469	142.0	Haemophilus influenzae	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343856	done	233273	2883	230390	1.2359	20	6	Arabidopsis thaliana	0.42488	Burkholderia multivorans	0.01572	45.0	Burkholderia multivorans	1	high_pathogen_fraction	
20260724T170118Z-prjna1056765-production-descriptive-batch-005	20260724T170118Z-prjna1056765-production-descriptive-batch-005	SRR27343860	done	244117	3941	240176	1.6144	34	5	Toxoplasma gondii	0.46905							
