job_id	run	pathogen_group	status	error	amr_status	amr_records	amr_subset_reads	host_removed_fastq	kreport	bracken
20260807T000000Z-prjna1056765-host-amr-screen-21	SRR27343296	Staphylococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-21/host_removed/SRR27343296.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-21/kraken2_confirm/SRR27343296.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-21/kraken2_confirm/SRR27343296.bracken
20260807T000000Z-prjna1056765-host-amr-screen-22	SRR27343601	Haemophilus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-22/host_removed/SRR27343601.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-22/kraken2_confirm/SRR27343601.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-22/kraken2_confirm/SRR27343601.bracken
20260807T000000Z-prjna1056765-host-amr-screen-23	SRR27344041	Haemophilus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-23/host_removed/SRR27344041.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-23/kraken2_confirm/SRR27344041.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-23/kraken2_confirm/SRR27344041.bracken
20260807T000000Z-prjna1056765-host-amr-screen-24	SRR27343839	Streptococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-24/host_removed/SRR27343839.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-24/kraken2_confirm/SRR27343839.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-24/kraken2_confirm/SRR27343839.bracken
20260807T000000Z-prjna1056765-host-amr-screen-25	SRR27343734	Streptococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-25/host_removed/SRR27343734.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-25/kraken2_confirm/SRR27343734.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-25/kraken2_confirm/SRR27343734.bracken
20260807T000000Z-prjna1056765-host-amr-screen-26	SRR27343742	Mycobacteria	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-26/host_removed/SRR27343742.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-26/kraken2_confirm/SRR27343742.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-26/kraken2_confirm/SRR27343742.bracken
20260807T000000Z-prjna1056765-host-amr-screen-27	SRR27343518	Mycobacteria	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-27/host_removed/SRR27343518.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-27/kraken2_confirm/SRR27343518.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-27/kraken2_confirm/SRR27343518.bracken
20260807T000000Z-prjna1056765-host-amr-screen-28	SRR27343522	Mycobacteria	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-28/host_removed/SRR27343522.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-28/kraken2_confirm/SRR27343522.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-28/kraken2_confirm/SRR27343522.bracken
20260807T000000Z-prjna1056765-host-amr-screen-29	SRR27343520	Mycobacteria	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-29/host_removed/SRR27343520.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-29/kraken2_confirm/SRR27343520.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-29/kraken2_confirm/SRR27343520.bracken
20260807T000000Z-prjna1056765-host-amr-screen-30	SRR27343835	Streptococcus	done		done_short_read_subset	0	50000	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-30/host_removed/SRR27343835.fastq.gz	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-30/kraken2_confirm/SRR27343835.kreport	/mnt/disk1/db/kraken2/0714/results/20260807T000000Z-prjna1056765-host-amr-screen-30/kraken2_confirm/SRR27343835.bracken
